NMAI ARK,NMAI Internal EMu ID,Term,Scope Note,Used for,Language Notes,Entire Tree,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
Source URL,Source Citation,Preferred term,Scope note,Alternative term,Scope Note addition,Found Data,,,,,,,
http://n2t.net/ark:/65665/sz888f1f285-7bd9-40f5-a815-1c0f3e4fddcd,NMAICulture_188,Chukchee,,Chukchi,Language Family info:  Chukotko-Kamchatkan,Asia - Arctic - Siberia - Chukchee,Asia,Arctic,Siberia,Chukchee,,,
http://n2t.net/ark:/65665/sz8e748c974-e73d-4f6e-8aec-7c01bf67c39b,NMAICulture_219,Evenk (Even or Lamut Tungus),,,Language Family info:  Altaic/Tungus,Asia - Arctic - Siberia - Evenk (Even or Lamut Tungus),Asia,Arctic,Siberia,Evenk (Even or Lamut Tungus),,,
http://n2t.net/ark:/65665/sz841f64961-80b5-4cb3-b6aa-601fcdc2a9e0,NMAICulture_284,Koryak,,Nymylan,Language Family info:  Chukotko-Kamchatkan,Asia - Arctic - Siberia - Koryak,Asia,Arctic,Siberia,Koryak,,,
http://n2t.net/ark:/65665/sz8ef374f41-c2c4-4358-986f-20db47744f12,NMAICulture_36,Siberia,,,,Asia - Arctic - Siberia,Asia,Arctic,Siberia,,,,
http://n2t.net/ark:/65665/sz87f58f330-7eaa-48f0-94fc-60ce1c576bed,NMAICulture_9,Arctic,,,,Asia - Arctic,Asia,Arctic,,,,,
http://n2t.net/ark:/65665/sz88f5a291a-4882-4fb0-97a2-5dfaf62ca1a1,NMAICulture_3,Asia,,,,Asia,Asia,,,,,,
http://n2t.net/ark:/65665/sz842d7aa39-2fab-4550-b2e7-87c6c4dc955d,NMAICulture_2764,Barrera-Mordán Complex (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Archaic Age (Ortoiroid) (archaeological culture) - Barrera-Mordán Complex (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Archaic Age (Ortoiroid) (archaeological culture),Barrera-Mordán Complex (archaeological culture),,
http://n2t.net/ark:/65665/sz896dde5c8-3b4b-4b22-90ce-8021f4ba9659,NMAICulture_2763,Archaic Age (Ortoiroid) (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Archaic Age (Ortoiroid) (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Archaic Age (Ortoiroid) (archaeological culture),,,
http://n2t.net/ark:/65665/sz8e760046c-2e51-48b1-a7d5-378818d24b24,NMAICulture_2762,Banwari Complex (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Banwari Complex (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Banwari Complex (archaeological culture),,,
http://n2t.net/ark:/65665/sz8481823fa-67e5-4a0d-aa9f-956f7107478f,NMAICulture_3165,Afro-Caribbean,,,,Central America - Circum-Caribbean - Island Caribbean - Caribbean Non-Indians - Afro-Caribbean,Central America,Circum-Caribbean,Island Caribbean,Caribbean Non-Indians,Afro-Caribbean,,
http://n2t.net/ark:/65665/sz8a717d6d3-3c3c-4b8f-8824-80bf9f4a775e,NMAICulture_535,Afro-Haitian,,Haytian; Voodoo Haitian Negro,,Central America - Circum-Caribbean - Island Caribbean - Caribbean Non-Indians - Afro-Haitian,Central America,Circum-Caribbean,Island Caribbean,Caribbean Non-Indians,Afro-Haitian,,
http://n2t.net/ark:/65665/sz896d1bcae-3b60-4b5d-88b9-44021f266c30,NMAICulture_536,Afro-Jamaican,,Jamaican Negro,,Central America - Circum-Caribbean - Island Caribbean - Caribbean Non-Indians - Afro-Jamaican,Central America,Circum-Caribbean,Island Caribbean,Caribbean Non-Indians,Afro-Jamaican,,
http://n2t.net/ark:/65665/sz8357a4cd2-2cdc-4bbe-b5eb-b9e9a36ec975,NMAICulture_156,Caribbean Non-Indians,,,,Central America - Circum-Caribbean - Island Caribbean - Caribbean Non-Indians,Central America,Circum-Caribbean,Island Caribbean,Caribbean Non-Indians,,,
http://n2t.net/ark:/65665/sz87c6b2209-7359-4f30-8b8e-79433e5f2782,NMAICulture_3160,Dabajuroid (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Dabajuroid (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Dabajuroid (archaeological culture),,,
http://n2t.net/ark:/65665/sz85e5e8a74-1640-4f4b-b2c4-fa8d45d7b256,NMAICulture_3129,Huecoid Tradition (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Huecoid Tradition (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Huecoid Tradition (archaeological culture),,,
http://n2t.net/ark:/65665/sz8c6445182-d418-44b7-a88a-62ff944d05e7,NMAICulture_571,Carib [Jamaica],,,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Island Carib - Carib [Jamaica],Central America,Circum-Caribbean,Island Caribbean,Island Carib,Carib [Jamaica],,
http://n2t.net/ark:/65665/sz84d946f17-dbbe-4511-9973-60291b7bd0fa,NMAICulture_572,Carib [St. Vincent],,,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Island Carib - Carib [St. Vincent],Central America,Circum-Caribbean,Island Caribbean,Island Carib,Carib [St. Vincent],,
http://n2t.net/ark:/65665/sz8acaa1742-a7bb-4cc2-8fd0-ce1d543c4242,NMAICulture_674,Kalinago (Carib/Kalina) [Dominica],,Kalina,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Island Carib - Kalinago (Carib/Kalina) [Dominica],Central America,Circum-Caribbean,Island Caribbean,Island Carib,Kalinago (Carib/Kalina) [Dominica],,
http://n2t.net/ark:/65665/sz8cf6b02a3-8086-421a-8fec-d94f9ed42da9,NMAICulture_259,Island Carib,"Includes all individual Island Carib objects not assignable to more specific terms (Cuba, Barbados); other subdivions can be added if warranted",,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Island Carib,Central America,Circum-Caribbean,Island Caribbean,Island Carib,,,
http://n2t.net/ark:/65665/sz8af3acb5a-ff04-490b-8570-ec1eef8eb496,NMAICulture_3136,Cayo Complex (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Island Caribbean (archaeological culture) - Cayo Complex (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Island Caribbean (archaeological culture),Cayo Complex (archaeological culture),,
http://n2t.net/ark:/65665/sz87cd71d61-dc15-4dc5-8611-d9b9f09fc196,NMAICulture_3024,Island Caribbean (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Island Caribbean (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Island Caribbean (archaeological culture),,,
http://n2t.net/ark:/65665/sz8c6289a35-a705-43a4-baa3-cf2344ac52e5,NMAICulture_2740,Chican Ostionoid (Chicoid) (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Ostionoid Tradition (archaeological culture) - Chican Ostionoid (Chicoid) (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Ostionoid Tradition (archaeological culture),Chican Ostionoid (Chicoid) (archaeological culture),,
http://n2t.net/ark:/65665/sz8472896dd-acac-4627-9ada-b0e94b8f4074,NMAICulture_3059,Elenan Ostionoid (Elenoid) (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Ostionoid Tradition (archaeological culture) - Elenan Ostionoid (Elenoid) (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Ostionoid Tradition (archaeological culture),Elenan Ostionoid (Elenoid) (archaeological culture),,
http://n2t.net/ark:/65665/sz84fd72296-2a0d-44f7-8887-63546bbbd221,NMAICulture_3062,Meillacan Ostionoid (Meillacoid) (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Ostionoid Tradition (archaeological culture) - Meillacan Ostionoid (Meillacoid) (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Ostionoid Tradition (archaeological culture),Meillacan Ostionoid (Meillacoid) (archaeological culture),,
http://n2t.net/ark:/65665/sz8fd93d19c-b3af-4d7b-8830-45d786f86b49,NMAICulture_3058,Ostionan Ostionoid (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Ostionoid Tradition (archaeological culture) - Ostionan Ostionoid (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Ostionoid Tradition (archaeological culture),Ostionan Ostionoid (archaeological culture),,
http://n2t.net/ark:/65665/sz8719ccc82-4b0d-422b-9348-c8132523959a,NMAICulture_2779,Ostionoid Tradition (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Ostionoid Tradition (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Ostionoid Tradition (archaeological culture),,,
http://n2t.net/ark:/65665/sz87e42e1e8-0728-43bb-a2f9-7d0e13c131f2,NMAICulture_2777,Saladoid (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Saladoid (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Saladoid (archaeological culture),,,
http://n2t.net/ark:/65665/sz8667878b9-0650-4d0a-abc7-ba3399aceb99,NMAICulture_706,Lucayan (Bahamian Indians),,,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Taíno - Lucayan (Bahamian Indians),Central America,Circum-Caribbean,Island Caribbean,Taíno,Lucayan (Bahamian Indians),,
http://n2t.net/ark:/65665/sz8df63e5b4-a2f0-4e31-9714-c49bf4506bd8,NMAICulture_862,Taíno [Dominican Republic],,,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Taíno - Taíno [Dominican Republic],Central America,Circum-Caribbean,Island Caribbean,Taíno,Taíno [Dominican Republic],,
http://n2t.net/ark:/65665/sz8ea1c0e7b-3dab-4f0d-97b7-626928809dd9,NMAICulture_863,Taíno [Haiti],,Haytian,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Taíno - Taíno [Haiti],Central America,Circum-Caribbean,Island Caribbean,Taíno,Taíno [Haiti],,
http://n2t.net/ark:/65665/sz8eb37a2ea-31c2-4f33-9770-852e5d439a66,NMAICulture_864,Taíno [Jamaica],,,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Taíno - Taíno [Jamaica],Central America,Circum-Caribbean,Island Caribbean,Taíno,Taíno [Jamaica],,
http://n2t.net/ark:/65665/sz83a7982a0-daf2-4ea9-9d8d-880100076d10,NMAICulture_865,Taíno [Puerto Rico],,,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Taíno - Taíno [Puerto Rico],Central America,Circum-Caribbean,Island Caribbean,Taíno,Taíno [Puerto Rico],,
http://n2t.net/ark:/65665/sz821547cc1-856a-4d1b-ad2c-0f0675fade5f,NMAICulture_930,Yara Taíno,,,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Taíno - Yara Taíno,Central America,Circum-Caribbean,Island Caribbean,Taíno,Yara Taíno,,
http://n2t.net/ark:/65665/sz89ca6d65c-b9d2-47f2-912d-468bf55a6f9e,NMAICulture_440,Taíno,,,Language Family info:  Arawakan/Maipuran/Northern Maipuran/Caribbean,Central America - Circum-Caribbean - Island Caribbean - Taíno,Central America,Circum-Caribbean,Island Caribbean,Taíno,,,
http://n2t.net/ark:/65665/sz830243de7-8617-4323-997b-253804ec1c8e,NMAICulture_3133,Mamoran Troumassoid (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Troumassoid Tradition (archaeological culture) - Mamoran Troumassoid (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Troumassoid Tradition (archaeological culture),Mamoran Troumassoid (archaeological culture),,
http://n2t.net/ark:/65665/sz81969db7a-60de-4e8a-a2e8-e7cc5f252ac4,NMAICulture_3132,Suazan Troumassoid (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Troumassoid Tradition (archaeological culture) - Suazan Troumassoid (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Troumassoid Tradition (archaeological culture),Suazan Troumassoid (archaeological culture),,
http://n2t.net/ark:/65665/sz8e94d1ce9-841b-4bec-8f3c-9208bf1bdf77,NMAICulture_3131,Troumassan Troumassoid (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Troumassoid Tradition (archaeological culture) - Troumassan Troumassoid (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Troumassoid Tradition (archaeological culture),Troumassan Troumassoid (archaeological culture),,
http://n2t.net/ark:/65665/sz8cda26fbd-46a0-4faf-b14b-1522d4921fb5,NMAICulture_3130,Troumassoid Tradition (archaeological culture),,,,Central America - Circum-Caribbean - Island Caribbean - Troumassoid Tradition (archaeological culture),Central America,Circum-Caribbean,Island Caribbean,Troumassoid Tradition (archaeological culture),,,
http://n2t.net/ark:/65665/sz81ae573ed-2282-4830-a452-bda68f2fb218,NMAICulture_496,West Indies,,,,Central America - Circum-Caribbean - Island Caribbean - West Indies,Central America,Circum-Caribbean,Island Caribbean,West Indies,,,
http://n2t.net/ark:/65665/sz8a3d07b42-16b8-4033-9727-1694d6188762,NMAICulture_38,Island Caribbean,,,,Central America - Circum-Caribbean - Island Caribbean,Central America,Circum-Caribbean,Island Caribbean,,,,
http://n2t.net/ark:/65665/sz8d9d6c45f-404a-45cc-ba35-55fca1538d81,NMAICulture_2963,Cabécar (Chirripó),,,Language family info: Chibchan,Central America - Circum-Caribbean - Mainland Caribbean - Cabécar (Chirripó),Central America,Circum-Caribbean,Mainland Caribbean,Cabécar (Chirripó),,,
http://n2t.net/ark:/65665/sz836b2883a-61ff-4434-b805-fa10bff7e501,NMAICulture_2632,Chiriquí (archaeological culture),,,,Central America - Circum-Caribbean - Mainland Caribbean - Chiriquí (archaeological culture),Central America,Circum-Caribbean,Mainland Caribbean,Chiriquí (archaeological culture),,,
