Concept name,Alternative Concept name,Scope or Descriptive Note,Broader Concept Name
Persons with subjugated status,,,Slavery era related CPF
Enslaved persons,Slaves; Captives; Enslaved; Chattel; Hands,Persons held in bondage by other persons.,Persons with subjugated status
"Emancipated persons (possibly use instead of ""Freed”)",Freed persons; Freedmen; Freedwomen; Liberated persons,"Persons who were freed through acts of emancipation.
Free persons who were emancipated by former owners or by laws.",Persons with subjugated status
Free persons,Free persons of color,"Persons who are not enslaved or under bondage, including those free at birth, self-emancipated, and emancipated by their owners or laws. 
",Persons with subjugated status
Freed persons,,"Free persons who were formerly enslaved or under bondage and emancipated by their former owners or by laws.
Example: Freedmen or Freedwomen after the Civil War",Persons with subjugated status
Indentured servants,Bond servants,"Laborers or servants under contracts to work for fixed amounts of time in exchange for provisions, clothing, and shelter.",Persons with subjugated status
Bond servants,Bondsmen; Bondswomen,"In colonial and antebellum America, these usually were persons of European descendancy contracted to work for set amounts of time to gain passage to America with provisions. At the end of these periods, bond servants might receive land and supplies to enable independence.",Persons with subjugated status
"""Given own time"" enslaved persons",,"Enslaved persons who were not emancipated but given free use of their time as if emancipated. This status was often used when a person (for whatever reason) wanted to stay on the owner's land, perhaps to be around family; or if the owner wanted the enslaved person ""given own time"" as a special recognition of some type. ",Persons with subjugated status
"""Town slaves""",,Persons who perform duties or labor within towns.,Persons with subjugated status
"""House slaves""",House Negroes,Enslaved persons or free persons of color who worked in houses.,Persons with subjugated status
"""Privilege Negroes""",,Enslaved persons of African descent who were given to ship officers by the ship owners as a privilege or special honor.,Persons with subjugated status
Hired-out enslaved workers,,Enslaved workers hired out to others by their enslavers to bring in income for the enslavers.,Persons with subjugated status
Knowledgeable enslaved persons,,Enslaved persons with knowledge.,Persons with subjugated status
Slavery era Families/Corporate Bodies,,,
Enslaved families,,Families held in bondage by other persons.,
Slavery era corporate bodies,,Corporate bodies used to hold persons in bondage.,
Maternal/maternity related persons,,,Slavery era related CPF
Childbearers,Childbearing women; Mothers; Women with children,Women with children.,Maternal/maternity related persons
Pregnant women,,,Maternal/maternity related persons
Breast feeding women,,,Maternal/maternity related persons
Wetnurses,,Women who breast feed other person’s infant or infants.,Maternal/maternity related persons
Wetnurse users,,Persons who use wetnurses for infants.,Maternal/maternity related persons
"""Negro breeders""","""Slave breeders""",Enslavers and others who force enslaved persons to have children to increase the number of enslaved persons owned by them or others.,Maternal/maternity related persons
Slavery era property owners,,,
Slavery era landowners,Land owners,Slavery era owners of land.,Slavery era property owners
Plantation owners,Slave plantation owners,"Owners of plantations, specifically plantations utilizing enslaved laborers/workers.",Slavery era property owners
Enslavers,Slave owners; Slaveholders,Persons who holds one or more enslaved persons as chattel.,Slavery era property owners
Slavery era waterway vessels owners,,"Slavery era owners of waterway vessels, for instance, ships, boats, ferries, flatboats, riverboats, rafts, and other vessels.",Slavery era property owners
Slaveship owners,"""Guineamen"" vessel owner","Owners of waterway vessels utilized to transport enslaved persons. Ships used for human trafficking to and from the Guinea coast in West Africa were often called ""Guineamen.""",Slavery era property owners
Slavery era livestock owners,,Owners of livestock.,Slavery era property owners
Abolition related CPF,,,Slavery era related CPF
Abolitionists,,CPF who were for the abolition of slavery.,Abolition related CPF
Anti-abolitionists,Pro-slavery persons,CPF who were against the abolition of slavery.,Abolition related CPF
Abolition related corporate bodies,,,Abolition related CPF
Freedom seeker related CPF,,,Slavery era related CPF
Freedom seekers,Runaways; Escapees; Self-emancipated persons,Enslaved persons or families who escaped to freedom.,Freedom seeker related CPF
Freedom from enslavement facilitators,,Persons who facilitate freedom from being enslaved.,Freedom seeker related CPF
Chained person related CPF,,,Slavery era related CPF
Chain gang captives,,Persons held captive in chain gangs and used for forced labor.,Chained person related CPF
Chain gangs,,Groups/gangs of convicts who were chained together to work outside of the prisons.,Chained person related CPF
"Chained, shackled, and/or punitive iron wearing persons",Chained persons; Shackled persons; Wooden shackled persons; Bilboes wearing persons; Neck braced persons; Iron collared persons; Iron ringed persons; Punitive iron facemask wearing persons; Slave iron bit wearing persons;,"Persons bound with bodily chains, shackles and/or punitive irons that were placed on against the persons' free will.",Chained person related CPF
"CPF who apply chains, shackles, punitive iron, and other forms of physical bondage.",,"Persons associated with chaining, shackling, and/or punitive irons placement or removal from other persons.",Chained person related CPF
Coffle persons (chained),Coffle associated persons,,Chained person related CPF
Coffles (chained),,Lines of enslaved persons bound together with chains or ropes and forced to walk to other locations.,Chained person related CPF
Persons and corporate bodies who supervise and force the movement of coffle persons,,,Chained person related CPF
Persons and corporate bodies who have ownership of coffle persons,,,Chained person related CPF
Confinement related persons,,,Slavery era related CPF
Confined persons,Caged persons,"Persons who are confined, especially in non-judicial ways, such as, non-imprisonment, non-incarceration, etc..",Confinement related persons
Persons associated with confining someone else,,"Persons associated with the confinement or release from confinement of other persons, especially in non-judicial ways, such as, non-imprisonment, non-incarceration, etc.. ",Confinement related persons
Capture/seizure of person related CPF,,,Slavery era related CPF
African enslavers,,African CPF who held others enslaved.,Capture/seizure of person related CPF
Kidnapped persons,,Free persons captured by CPF kidnappers and possibly enslaved.,Capture/seizure of person related CPF
Kidnappers,,Persons kidnapping free persons for possible enslavement.,Capture/seizure of person related CPF
Seized persons (enslaved),,"Specified as, free/freed persons who are seized and possibly enslaved or returned to an enslaved status.",Capture/seizure of person related CPF
Re-enslaved persons,,Formerly enslaved persons who gain freedom and were recaptured or re-enslaved.,Capture/seizure of person related CPF
Enslavers,,CPF who captures a person(s) for purposes of enslavement.,Capture/seizure of person related CPF
Alternative to freedom status persons,,,Slavery era related CPF
"""Given own time"" freedom status persons",,"Enslaved persons who were not emancipated but given free use of their own time as if emancipated. This status was often used when persons (for whatever reason) wanted to stay on the enslaver's land, perhaps to be around family members; or if the owners wanted the enslaved persons ""given own time"" as special recognition of some type. ",Alternative to freedom status persons
Nations with enslaver status,,,Slavery era related CPF
Nations sponsoring slavery,,Nations where persons were enslaved.,Nations with enslaver status
Protection document related persons,,,Slavery era related CPF
Protection paper creators,,"CPF who created protection papers for enslaved, free or emancipated persons. These paper(s) or document(s) were used to grant or prove status for travel, transactions, or citizen rights.",Protection document related persons
Protection paper users,,"Enslaved, free or emancipated persons who used protection papers. These papers or documents granted or proved that person’s status for travel, transactions, or citizen rights.",Protection document related persons
African colonization related CPF,African colonization societies; Colonized persons or families to Africa,CPF involved with the African colonization of persons to remove them from their present country.,
Redemption of enslaved persons related CPF   ,,"Persons who gained freedom through financial transactions of their own, their family members/friends, or third-party payments to the persons' enslavers.",
Freed by redemption persons,,Enslaved persons who were purchased in order to be set free.,Redemption of enslaved persons related CPF
Redemption of enslaved person(s) facilitators,,Persons who purchased one or more enslaved persons in order to set them free.,Redemption of enslaved persons related CPF
Hunting of person(s) related CPF,,,Slave patrol related CPF
Slave hunters,Slave catchers,Persons involved in activity to recapture one or more freedom seeking enslaved persons.,Hunting of enslaved person(s) related CPF
Hunted persons,,Persons who are hunted.,Hunting of enslaved person(s) related CPF
Slave patrols related CPF,,,
Slave patrols,Patrollers; Patterrollers; Pattyrollers or Paddy rollers,Armed and organized groups of  men used to monitor and enforce control over enslaved persons.,"
Slave patrol related CPF"
Slave patrol impacted persons,,Persons targeted by an armed and organized group(s) of men used to monitor and enforce control over enslaved persons.,"
Slave patrol related CPF"
Maltreatment related CPF,,,Slavery era related CPF
Atrocity purveyors,,CPF who are perpetrators of atrocities. ,Maltreatment related CPF
Atrocity impacted persons,,Persons who are impacted by atrocities.,Maltreatment related CPF
Maltreated persons,,Persons who were mistreated.,Maltreatment related CPF
Maltreaters,,CPF who maltreats.,Maltreatment related CPF
Incarceration related CPF,,,Slavery era related CPF
Imprisoned/incarcerated persons,,Persons who were placed in prison/jail.,Incarceration related CPF
Jailors of enslaved person(s) / Incarceration managers,Wardens,Persons with authority over enslaved person(s) in jails.,Incarceration related CPF
Incarceration corporate body,Prison; Jail,,Incarceration related CPF
Lynching related CPF,,,Slavery era related CPF
Lynched/hanged persons,,Persons who were lynched/hanged.,Lynching related CPF
Persons who enact the lynching,,Persons who carry-out the process of lynching/hanging other persons.,Lynching related CPF
Corporate bodies utilized for lynching/hanging ,,,Lynching related CPF
Crime related CPF,,,Slavery era related CPF
Criminal,Crook,Persons who commits a crime.,Crime related CPF
Investigators of crime,,Persons who investigate crimes,Crime related CPF
Residential related CPF,,,Slavery era related CPF
Cabin mates (residential),,Persons who share cabins.,Residential related CPF
Residential inhabitants,,,Residential related CPF
Slave plantations,,"Plantations where enslaved persons worked, labored, and lived usually against their free will.",Residential related CPF
Slave quarters,Slave rows; Slavery rows,Locations on plantations for the housing of enslaved persons.,Residential related CPF
Domestic services related CPF,,,Slavery era related CPF
House servants with enslaved status,,,Domestic services related CPF
House servants with free status,,,Domestic services related CPF
Managers of domestic servants/enslaved persons,,,Domestic services related CPF
Enslavers of domestic servants,,,Domestic services related CPF
Homeowners utilizing enslaved persons,,,Domestic services related CPF
Hotel/lodging services related CPF,,,Slavery era related CPF
Hotel proprietors/lodging owners,,Persons who were owners or proprietors of hotels.,Hotel/lodging services related CPF
Hotel/lodging users,,Persons who used lodgings.,Hotel/lodging services related CPF
Hotel/lodging servant/enslaved worker,,Persons who were servants/enslaved workers at hotels/lodgings.,Hotel/lodging services related CPF
Provisions related CPF,,,Slavery era related CPF
Provisions providers,Provisions transactors,"CPF who provided provisions, such as, food, clothing, and shelter.",Provisions related CPF
Provision receivers (recipients},,"Persons who received provisions, such as, food, clothing, and shelter.",Provisions related CPF
Provision corporate bodies,Storehouses; Warehouses; Stores,Corporate bodies used for providing provisions.,Provisions related CPF
Caregiving associated CPF,,CPF associated with caregiving.,Slavery era related CPF
Mercantile businesses associated CPF,,CPF associated with mercantile business.,Slavery era related CPF
Sexual practices associated CPF,,CPF associated with sexual practice.,Slavery era related CPF
Correspondences related CPF,,,Slavery era related CPF
Mail handlers,Mailmen,,"Slavery era related CPF
Correspondence related CPF"
Messengers,,Persons who carry messages.,"Slavery era related CPF
Correspondence related CPF"
Slavery era agriculture related CPF,,,
Sharecrop land owners,,Persons who own land used by sharecroppers.,Slavery era agriculture related CPF
Sharecroppers,Tenant farmers,"Tenants who give shares or parts of their crops in exchange for the use of the property owner's land, shelter, and provisions.",Slavery era agriculture related CPF
Sharecrop corporate bodies,,Corporate bodies who utilize sharecroppers.,Slavery era agriculture related CPF
Self-hiring enslaved agricultural workers,,"Enslaved persons who had rights to work for hire to bring in income. Additionally, an individual might work for wages during free time or as a free person.",Slavery era agriculture related CPF
By enslaver hired-out enslaved agricultural workers,,Enslaved agricultural workers hired out to others by their enslavers to bring in income for the enslavers.,Slavery era agriculture related CPF
Persons hiring enslaved agricultural workers,,Persons who hired enslaved agricultural workers.,Slavery era agriculture related CPF
Hired-enslaved-agricultural-worker corporate bodies,,Corporate bodies who were involved with the hiring-out or hiring-of enslaved agricultural workers.,Slavery era agriculture related CPF
Field hands (agriculture),Field workers; Field slaves,Persons who worked in fields.,Slavery era agriculture related CPF
Enslaved laborers (agriculture),Hands; Workers; Labourers,Below are listed words used as a synonym for an enslaved workers:,Slavery era agriculture related CPF
Enslaved hands (agriculture),,""" In the West Indies, slaves were assigned to the first (or ""great""), second, or trash gang depending primarily on (p. 515) strength and age or life stage rather than sex. In the United States, planters often measured all slaves against the standard of the ""prime"" slave. Thus, a strong woman might be a three‐quarter hand, while an old man or a pregnant woman might be a half hand.5 Working in sex‐mixed groups did not, however, erase gender. For example, planters typically assigned children of both sexes to the trash gang. Because the trash gang also contained elderly, heavily pregnant, and breastfeeding women, time served there helped socialize girls but not boys into adult gender roles. Moreover, while Caribbean women sometimes drove the second gang, and older women there and in the United States ran the trash gang, women rarely drove the great gangs.""",Slavery era agriculture related CPF
"""Prime slaves""/""Prime hands"" (enslaved agricultural workers)",,,Slavery era agriculture related CPF
"""Full hands"" (enslaved agricultural workers)",,,Slavery era agriculture related CPF
"""Full task hands"" (enslaved agricultural workers)",,,Slavery era agriculture related CPF
"""Gang hands"" (enslaved agricultural workers)",,,Slavery era agriculture related CPF
"""First (great) gang hands"" (enslaved agricultural workers)",,,Slavery era agriculture related CPF
"""Second gang hands"" (enslaved agricultural workers)",,,Slavery era agriculture related CPF
"""Trash gang hands"" (enslaved agricultural workers)",,,Slavery era agriculture related CPF
"""Three quarter hands"" (enslaved agricultural workers)",,,Slavery era agriculture related CPF
"""Half hands"" (enslaved agricultural workers)",,,Slavery era agriculture related CPF
"""Full task hands"" (enslaved agricultural workers)",,Persons expected to perform full amounts of their agricultural tasks.,Slavery era agriculture related CPF
"""Gang hands"" (enslaved agricultural workers)",,Persons who labored as part of gangs/groups doing agricultural work.,Slavery era agriculture related CPF
"""Trash gang hands"" (enslaved agricultural workers)",,"Pregnant women, nursing mothers, elderly persons, youth, or other persons who did lighter field labor as part of groups--this work included clearing field trash (i.e. sugarcane foliage, dried corn stocks, field rubbish, etc.)",Slavery era agriculture related CPF
Crop production related CPF,,,Slavery era related CPF
Crop researchers,,Persons who conduct or collect research regarding crops.,Crop production related CPF
Knowledgeable persons about crop production,,"Persons with knowledge about crop production. (e.g., persons with rice cultivation knowledge)",Crop production related CPF
Crop propagation providing CPF / Crop propagator CPF,,"CPF who provide seeds, plants, cuttings, etc. for the growing of crops. (e.g., seeds brought from Africa)",Crop production related CPF
Livestock owners,,Persons who own livestock.,Slavery era related CPF
Forestry and logging associated CPF,,CPF associated with forestry or logging.,Slavery era related CPF
Insect and worm associated CPF,,"CPF associated with insects and worms. (e.g., silk worms)",Slavery era related CPF
Freedmen school related CPF,,,Slavery era related CPF
Freedmen schools,,Schools founded by or for formerly enslaved persons possibly with assistance from the Freedmen’s Bureau.,Freedmen school related CPF
Freedmen school teachers,,,Freedmen school related CPF
Freedmen school students,,,Freedmen school related CPF
Slavery era demographic group education related CPF,,,
Schools for slavery era demographic group,,Schools used to educate SEDG (Slavery Era Demographic Group) persons.,Slavery era demographic group education related CPF
Teachers for slavery era demographic group,,Persons who taught SEDG person or persons.,Slavery era demographic group education related CPF
Students in slavery era demographic group,,SEDG persons who were students.,Slavery era demographic group education related CPF
Bookkeeping related CPF,,,Slavery era related CPF
CPF requiring bookkeeping,,CPF who kept records and account books.,Bookkeeping related CPF
CPF recorded by bookkeeping,,CPF recorded within records and account books.,Bookkeeping related CPF
Advertisement related CPF,,,Slavery era related CPF
Advertised enslaved persons,,Enslaved persons listed in advertisements.,Advertisement related CPF 
Slavery advertisers (persons),,Creators of advertisements about the slave trade or enslaved persons.,Advertisement related CPF 
Slavery advertisers (corporate bodies),,Corporate bodies creating advertisements about the slave trade or enslaved persons.,Advertisement related CPF 
Escheat related CPF ,,,Slavery era related CPF
Escheating associated corporate bodies,,Corporate bodies associated with escheated enslaved persons.,Escheat related CPF  
Escheated enslaved persons,,Persons whose enslavement reverted to the state when the enslavers died intestate (without wills) or without legal heirs.,Escheat related CPF  
Escheating associated persons,,Persons associated with escheated enslaved persons.,Escheat related CPF  
Insurance related CPF,,,Slavery era related CPF
Insured enslaved persons,,Enslaved persons covered for the enslavers by insurance.,Insurance related CPF
Insurers of enslaved persons,,Persons who insured enslaved persons for their financial benefit or security.,Insurance related CPF
Insurance corporate bodies,,Corporate bodies who provided insurance to enslavers for their enslaved persons.,Insurance related CPF
Convict leasing related CPF ,,,Slavery era related CPF
Leased convicts/prisoners,Leased convicts/prisoners,,Convict leasing related CPF 
Leasors of convicts/prisoners,Leasers of convicts/prisoners,CPF involved with the leasing of convicts or prisoners.,Convict leasing related CPF 
Mortgage related CPF,,,Slavery era related CPF
Mortgaged enslaved persons,,Enslaved persons whose valuation was mortgaged. ,Mortgage related CPF
