id,code-2,description,new_code,new_desc
1,aar,Afar,aar,Afar
2,abk,Abkhazian,abk,Abkhazian
3,ace,Achinese,ace,Achinese
4,ach,Acoli,ach,Acoli
5,ada,Adangme,ada,Adangme
6,ady,Adyghe; Adygei,ady,Adyghe
7,afa,Afro-Asiatic languages,afa,Afro-Asiatic languages
8,afh,Afrihili,afh,Afrihili
9,afr,Afrikaans,afr,Afrikaans
10,ain,Ainu,ain,Ainu (Japan)
11,aka,Akan,aka,Akan
12,akk,Akkadian,akk,Akkadian
13,alb,Albanian,sqi,Albanian
14,sqi,Albanian,sqj,Albanian languages
15,ale,Aleut,ale,Aleut
16,alg,Algonquian languages,alg,Algonquian languages
17,alt,Southern Altai,alt,Southern Altai
18,amh,Amharic,amh,Amharic
19,ang,"English, Old (ca.450-1100)",ang,Old English (ca. 450-1100)
20,anp,Angika,anp,Angika
21,apa,Apache languages,apa,Apache languages
22,ara,Arabic,ara,Arabic
23,arc,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),arc,Official Aramaic (700-300 BCE)
24,arg,Aragonese,arg,Aragonese
25,arm,Armenian,hye,Armenian
26,hye,Armenian,axm,Middle Armenian
27,arn,Mapudungun; Mapuche,arn,Mapudungun
28,arp,Arapaho,arp,Arapaho
29,art,Artificial languages,art,Artificial languages
30,arw,Arawak,arw,Arawak
31,asm,Assamese,asm,Assamese
32,ast,Asturian; Bable; Leonese; Asturleonese,ast,Asturian
33,ath,Athapascan languages,ath,Athapascan languages
34,aus,Australian languages,aus,Australian languages
35,ava,Avaric,ava,Avaric
36,ave,Avestan,ave,Avestan
37,awa,Awadhi,awa,Awadhi
38,aym,Aymara,aym,Aymara
39,aze,Azerbaijani,aze,Azerbaijani
40,bad,Banda languages,bad,Banda languages
41,bai,Bamileke languages,bai,Bamileke languages
42,bak,Bashkir,bak,Bashkir
43,bal,Baluchi,bal,Baluchi
44,bam,Bambara,bam,Bambara
45,ban,Balinese,ban,Balinese
46,baq,Basque,euq,Basque (family)
47,eus,Basque,eus,Basque
48,bas,Basa,bas,Basa (Cameroon)
49,bat,Baltic languages,bat,Baltic languages
50,bej,Beja;,bej,Beja
51,bel,Belarusian,bel,Belarusian
52,bem,Bemba,bem,Bemba (Zambia)
53,ben,Bengali,ben,Bengali
54,ber,Berber languages,ber,Berber languages
55,bho,Bhojpuri,bho,Bhojpuri
56,bih,Bihari languages,bih,Bihari languages
57,bik,Bikol,bik,Bikol
58,bin,Bini; Edo,bin,Bini
59,bis,Bislama,bis,Bislama
60,bla,Siksika,bla,Siksika
61,bnt,Bantu (Other),bnt,Bantu languages
62,bos,Bosnian,bos,Bosnian
63,bra,Braj,bra,Braj
64,bre,Breton,bre,Breton
65,btk,Batak languages,btk,Batak languages
66,bua,Buriat,bua,Buriat
67,bug,Buginese,bug,Buginese
68,bul,Bulgarian,bul,Bulgarian
69,bur,Burmese,mya,Burmese
70,mya,Burmese,obr,Old Burmese
71,byn,Blin; Bilin,byn,Bilin
72,cad,Caddo,cad,Caddo
73,cai,Central American Indian languages,cai,Central American Indian languages
74,car,Galibi Carib,car,Galibi Carib
75,cat,Catalan; Valencian,cat,Catalan
76,cau,Caucasian languages,cau,Caucasian languages
77,ceb,Cebuano,ceb,Cebuano
78,cel,Celtic languages,cel,Celtic languages
79,cha,Chamorro,cha,Chamorro
80,chb,Chibcha,chb,Chibcha
81,che,Chechen,che,Chechen
82,chg,Chagatai,chg,Chagatai
83,chi,Chinese,zho,Chinese
84,zho,Chinese,cmn,Mandarin Chinese
85,chk,Chuukese,chk,Chuukese
86,chm,Mari,chm,Mari (Russia)
87,chn,Chinook jargon,chn,Chinook jargon
88,cho,Choctaw,cho,Choctaw
89,chp,Chipewyan; Dene Suline,chp,Chipewyan
90,chr,Cherokee,chr,Cherokee
91,chu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,chu,Church Slavic
92,chv,Chuvash,chv,Chuvash
93,chy,Cheyenne,chy,Cheyenne
94,cmc,Chamic languages,cmc,Chamic languages
95,cop,Coptic,cop,Coptic
96,cor,Cornish,cor,Cornish
97,cos,Corsican,cos,Corsican
98,cpe,"Creoles and pidgins, English based",cpe,"Creoles and pidgins, English‑based"
